name,url,org_type,category,description,last_activity,confidence,verified,verified_at
silverscript,https://github.com/kaspanet/silverscript,official (kaspanet org),programmability/covenants,"Silverscript: a covenant/smart-contract scripting language for Kaspa (KIP-10/KIP-20). Includes compiler, parser, tests, and the KCC20 book (Kaspa Contract Convention token standard, by core dev Ori Newman) covering covenant-based token contracts.","Active — Toccata hardfork (which Silverscript targets) activated on mainnet Jun 30, 2026; tooling/audit maturity still developing",Medium,,
rusty-kaspa,https://github.com/kaspanet/rusty-kaspa,official (kaspanet org),core protocol,Kaspa full-node reference implementation and related libraries in the Rust programming language,"Active — last push Aug 2 2026; 842 stars, 290 forks, 101 open PRs",High,,
kaspa-python-sdk,https://github.com/kaspanet/kaspa-python-sdk,official (kaspanet org),SDK/library,Kaspa Python SDK - a native Python extension module built from bindings to Rust & Rusty-Kaspa source,Active — last push Jul 31 2026; 8 stars,High,,
vprogs,https://github.com/kaspanet/vprogs,official (kaspanet org),core protocol,"Rust framework for provable computation on Kaspa, incl. transaction scheduling, execution runtime, and state management",Active — last push Jul 28 2026; 52 stars,High,,
kccs,https://github.com/kaspanet/kccs,official (kaspanet org),documentation,Kaspa Calls for Conventions,Active — last push Jul 15 2026; 6 stars,High,,
kips,https://github.com/kaspanet/kips,official (kaspanet org),documentation,Kaspa Improvement Proposals,Active — last push Jul 15 2026; 56 stars,High,,
docs,https://github.com/kaspanet/docs,official (kaspanet org),documentation,Kaspa documentation,Active — last push Jul 2 2026; 66 stars,High,,
cpuminer,https://github.com/kaspanet/cpuminer,official (kaspanet org),mining/pool,A fast CPU miner for Kaspa,Active — last push Jun 23 2026; 1 star,High,,
kaspad,https://github.com/kaspanet/kaspad,official (kaspanet org),core protocol,Reference full node Kaspa implementation written in Go; superseded by rusty-kaspa but still maintained,"Active (maintenance) — last push Jun 5 2026; 528 stars, 152 open issues",High,,
workflow-perf-monitor-rs,https://github.com/kaspanet/workflow-perf-monitor-rs,official (kaspanet org),infrastructure,A cross-platform library to retrieve performance statistics data,Active — last push Apr 21 2026,High,,
research,https://github.com/kaspanet/research,official (kaspanet org),documentation,Research papers/notes (TeX),Slowing — last push Mar 9 2026; 14 stars,High,,
dnsseeder,https://github.com/kaspanet/dnsseeder,official (kaspanet org),infrastructure,Kaspa DNS Seeder,Slowing — last push Nov 19 2025; 34 stars,High,,
rusty-kaspa-corpus,https://github.com/kaspanet/rusty-kaspa-corpus,official (kaspanet org),other,Test corpus data,STALE — last push Dec 27 2022; verify still needed,Medium,,
big-test-data,https://github.com/kaspanet/big-test-data,official (kaspanet org),other,Test data too big for another repository,STALE — last push Nov 13 2022,Medium,,
faucet,https://github.com/kaspanet/faucet,official (kaspanet org),infrastructure,Testnet faucet app (Go),ARCHIVED — last push May 17 2022,High,,
whitepaper,https://github.com/kaspanet/whitepaper,official (kaspanet org),documentation,Collaborative effort to write the Kaspa Whitepaper,STALE — last push Feb 16 2022; 11 stars,High,,
go-secp256k1,https://github.com/kaspanet/go-secp256k1,official (kaspanet org),SDK/library,Go bindings to kaspanet/secp256k1,STALE (Go implementation deprecated) — last push Apr 29 2021,Medium,,
go-muhash,https://github.com/kaspanet/go-muhash,official (kaspanet org),SDK/library,MuHash implementation in Go,STALE — last push Apr 7 2021,Medium,,
secp256k1,https://github.com/kaspanet/secp256k1,official (kaspanet org),SDK/library,Optimized C library for EC operations on curve secp256k1 (Bitcoin Core fork),ARCHIVED — last push Mar 16 2021,Medium,,
protoc-gen-doc,https://github.com/kaspanet/protoc-gen-doc,official (kaspanet org),CLI tooling,Documentation generator plugin for Google Protocol Buffers (mirrored dependency),STALE — last push Jan 7 2021,"Low — appears to be a mirrored 3rd-party dependency, not Kaspa-specific",,
kasparov,https://github.com/kaspanet/kasparov,official (kaspanet org),API/indexer,"API server for Kaspa written in Go (legacy, pre-rusty-kaspa era)",ARCHIVED — last push Dec 16 2020,High,,
golang-lru,https://github.com/kaspanet/golang-lru,official (kaspanet org),SDK/library,Golang LRU cache (mirrored dependency),STALE — last push Nov 24 2020,Low — mirrored 3rd-party dependency,,
compose,https://github.com/kaspanet/compose,official (kaspanet org),other,"Docker Compose (mirrored dependency, unrelated to Kaspa protocol)",STALE — last push May 4 2020,Low — exclude from core inventory; appears to be an accidental/dependency mirror,,
quick-start,https://github.com/kaspanet/quick-start,official (kaspanet org),CLI tooling,Quick-start scripts (Shell),STALE — last push Jan 20 2020,Medium,,
procedures,https://github.com/kaspanet/procedures,official (kaspanet org),documentation,Describes various procedures related to Kaspa,STALE — last push Jan 2 2020,Medium,,
ghostdag-prototype,https://github.com/kaspanet/ghostdag-prototype,official (kaspanet org),core protocol,Early GHOSTDAG protocol prototype,STALE — last push Dec 11 2019,Medium — historical/research artifact,,
kaspanet.org,https://github.com/kaspanet-org/kaspanet.org,"uncertain — separate 'kaspanet-org' org, not 'kaspanet'",documentation,Web-Site for kaspanet.org,STALE — last push Jul 19 2022,Low — verify whether 'kaspanet-org' org is still officially affiliated; distinct from the 'kaspanet' org,,
Useful-Links,https://github.com/kaspanet-org/Useful-Links,uncertain — 'kaspanet-org' org,documentation,Links to different places in the Kaspa cryptocurrency universe,STALE — last push Nov 21 2021,Low,,
kaspa-gpu-miner,https://github.com/kaspanet-org/kaspa-gpu-miner,uncertain — 'kaspanet-org' org,mining/pool,GPU miner for Kaspa cryptocurrency,STALE — last push Nov 20 2021,Low,,
kaspa-ng,https://github.com/aspectron/kaspa-ng,company-affiliated (Aspectron),wallet,"Kaspa p2p desktop node, wallet and BlockDAG visualizer; successor to KDX and web wallet",Active (per release history),"High — de facto official desktop wallet, closely coupled to rusty-kaspa",,
